CUST_ID,CUSTNAME,ADDRESS1,ADDRESS2,LOCALITY,CITY,STATE,COUNTRY_CODE,POSTAL_CODE,POSTAL_CODE_PLUS4,EMAIL_ADDRESS,PHONE_NUMBER,YTD_SALES,SALESREP_ID,NATIONALITY,NATIONAL_ID,CREDITCARD_NUMBER,CREDITCARD_TYPE,CREDITCARD_EXP,CREDITCARD_CVV,DRIVER_LICENSE
10001,Michael York        ,3186 University Drive,,,Abbadia Alpina,TO,IT,10060,0,Michael.E.York@spambob.com,0390 7539464,90.3,SE133 ,IT,ZYLCUE35H57C673Z,3.08853E+15,JCB,1112,4950,
10002,Rene Dunn           ,852 Oakmound Road,,,Aberdeen,OH,US,45101,0,Rene.K.Dunn@dodgeit.com,618-628-5618,0,NC169 ,UK,LY997752B,3.7E+14,American Express,710,6951,
10003,Allen Perl          ,4707 Hillcrest Lane,,,Abeto,PG,IT,6040,0,Allen.M.Perl@spambob.com,0370 4762239,304,RP385 ,U.S.,22867928,5.50097E+15,Master Card,908,6120,
10004,Robert Olson        ,3887 Echo Lane,,,Abilene,TX,US,79601,0,Robert.C.Olson@spambob.com,318-214-4533,304,SE337 ,U.S.,445590001,4.11111E+15,VISA,312,1794,
10005,Joe Jusino          ,4156 Overlook Drive,,,Abingdon,VA,US,24210,0,Joe.D.Jusino@spambob.com,619-296-8951,180.3,WE355 ,ES,6657001L,4.11167E+15,VISA,1015,7596,
10006,Rebecca Conner      ,4679 Winding Way,,,Acate,RG,IT,97011,0,Rebecca.R.Conner@spambob.com,0334 0902146,52,SC325 ,IT,VYKLHX12L64M140V,3.088E+15,JCB,113,7822,
10352,Gary Bolger         ,657 Saints Alley,,,Bloomington,IL,US,61701,0,Gary.N.Bolger@dodgeit.com,904-475-8949,673,WE283 ,U.S.,23868052,4.11162E+15,VISA,511,1794,
10422,Steve Farmer        ,2250 Michigan Avenue,,,Brant,MI,US,48614,0,Steve.A.Farmer@dodgeit.com,803-593-3693,904.86,NE307 ,CA,36912715,3.08882E+15,JCB,216,4511,
10007,Anthony Whitney     ,518 Highland View Drive,,,Achstetten,,DE,88480,0,Anthony.H.Whitney@pookmail.com,03571 39 94 30,354,WE349 ,IT,NXFXLA90D69D741G,4.11193E+15,VISA,115,9785,
10008,Alberto Barnes      ,4877 Armbrester Drive,,,Acquabona,BL,IT,32043,0,Alberto.T.Barnes@pookmail.com,0336 7304060,352,SW211 ,CA,575111703,3.7E+14,American Express,915,2725,
10009,Ronald Fowler       ,708 Saint Francis Way,,,Acquarica Del Capo,LE,IT,73040,0,Ronald.J.Fowler@dodgeit.com,0332 7751833,0,NW313 ,IT,MMDLDN21R19A440O,3.7E+14,American Express,914,5606,
10010,Christopher Mendoza ,2736 Doctors Drive,,,Acquarola,SA,IT,84080,0,Christopher.V.Mendoza@trashymail.com,0331 6165157,180.3,NC160 ,FR,1.36044E+14,3.7E+14,American Express,113,7416,
10012,Chris Sanchez       ,2776 Renwick Drive,,,ACTON,,UK,SY9 6CX,0,Chris.M.Sanchez@pookmail.com,070 7331 5894,5869.4,RP385 ,U.S.,506510001,6.01134E+15,Discover,1110,6391,
